2025/10/06 10:17:13 epoch 1, aura finalized time 640, fob finalized time 1140
2025/10/06 10:17:13 epoch 2, aura finalized time 630, fob finalized time 1100
2025/10/06 10:17:13 epoch 3, aura finalized time 930, fob finalized time 1690
2025/10/06 10:17:13 epoch 4, aura finalized time 870, fob finalized time none
2025/10/06 10:17:13 epoch 5, aura finalized time 920, fob finalized time none
2025/10/06 10:17:13 epoch 6, aura finalized time 1030, fob finalized time none
2025/10/06 10:17:13 epoch 7, aura finalized time 950, fob finalized time none
2025/10/06 10:17:13 epoch 8, aura finalized time 730, fob finalized time none
2025/10/06 10:17:13 epoch 9, aura finalized time 1040, fob finalized time none
2025/10/06 10:17:13 epoch 10, aura finalized time 730, fob finalized time none
2025/10/06 10:17:13 collect finished
